"block","event_data","event_type","timestamp","trial_instance_id"
"","{""participant_id"": ""namdar"", ""mode"": ""normal""}","experiment_start","0.0",""
"block0","{""block_number"": 0, ""num_trials"": 6}","block_start","46.39000000000033",""
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 5, ""go_durations"": [5.33, 4.05, 5.55, 5.48, 4.95]}","trial_start","46.39000000000033","namdar_01_block0_000"
"block0","","recording_start","46.42200000000048","namdar_01_block0_000"
"block0","","recording_end","106.48400000000038","namdar_01_block0_000"
"block0","{""actual_duration_sec"": 60.094, ""num_go_segments"": 5}","trial_end","106.48400000000038","namdar_01_block0_000"
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 4, ""go_durations"": [5.33, 6.9, 4.62, 3.81]}","trial_start","106.48400000000038","namdar_01_block0_001"
"block0","","recording_start","106.5","namdar_01_block0_001"
"block0","","recording_end","166.57800000000043","namdar_01_block0_001"
"block0","{""actual_duration_sec"": 60.094, ""num_go_segments"": 4}","trial_end","166.57800000000043","namdar_01_block0_001"
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 5, ""go_durations"": [4.4, 4.47, 5.11, 4.0, 4.07]}","trial_start","166.57800000000043","namdar_01_block0_002"
"block0","","recording_start","166.57800000000043","namdar_01_block0_002"
"block0","","recording_end","226.70300000000043","namdar_01_block0_002"
"block0","{""actual_duration_sec"": 60.125, ""num_go_segments"": 5}","trial_end","226.70300000000043","namdar_01_block0_002"
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 4, ""go_durations"": [6.57, 6.86, 4.61, 6.61]}","trial_start","226.70300000000043","namdar_01_block0_003"
"block0","","recording_start","226.71900000000005","namdar_01_block0_003"
"block0","","recording_end","286.8590000000004","namdar_01_block0_003"
"block0","{""actual_duration_sec"": 60.156, ""num_go_segments"": 4}","trial_end","286.8590000000004","namdar_01_block0_003"
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 3, ""go_durations"": [4.21, 5.5, 5.44]}","trial_start","286.8590000000004","namdar_01_block0_004"
"block0","","recording_start","286.875","namdar_01_block0_004"
"block0","","recording_end","346.95300000000043","namdar_01_block0_004"
"block0","{""actual_duration_sec"": 60.11, ""num_go_segments"": 3}","trial_end","346.96900000000005","namdar_01_block0_004"
"block0","{""task_type"": ""vowel"", ""num_go_segments"": 6, ""go_durations"": [3.43, 3.76, 4.46, 5.31, 5.25, 4.87]}","trial_start","346.96900000000005","namdar_01_block0_005"
"block0","","recording_start","346.96900000000005","namdar_01_block0_005"
"block0","","recording_end","407.0470000000005","namdar_01_block0_005"
"block0","{""actual_duration_sec"": 60.078, ""num_go_segments"": 6}","trial_end","407.0470000000005","namdar_01_block0_005"
"block0","{""block_number"": 0}","block_end","407.0470000000005",""
"block1","{""block_number"": 1, ""num_trials"": 6}","block_start","479.15599999999995",""
"block1","{""task_type"": ""vowel"", ""num_go_segments"": 7, ""go_durations"": [6.5, 4.02, 5.39, 4.0, 4.6, 5.12, 5.76]}","trial_start","479.15599999999995","namdar_01_block1_000"
"block1","","recording_start","479.1720000000005","namdar_01_block1_000"
"block1","","recording_end","482.9369999999999","namdar_01_block1_000"
"","{""reason"": ""user_abort""}","experiment_abort","482.9369999999999",""
